slot,parent_slot,cl_client,validator_id,validator,builder,relay,date,slot_in_epoch
[6773943](https://beaconcha.in/slot/6773943),0,Lighthouse,208100,,,,2023-06-30 07:48:59,23
[6773985](https://beaconcha.in/slot/6773985),0,Lighthouse,33165,,,,2023-06-30 07:57:23,1
[6774040](https://beaconcha.in/slot/6774040),0,Unknown,0,,,,2023-06-30 08:08:23,24
[6774106](https://beaconcha.in/slot/6774106),0,Unknown,0,,,,2023-06-30 08:21:35,26
[6774208](https://beaconcha.in/slot/6774208),0,Prysm,203085,,,,2023-06-30 08:41:59,0
[6774238](https://beaconcha.in/slot/6774238),0,Unknown,0,,,,2023-06-30 08:47:59,30
[6774283](https://beaconcha.in/slot/6774283),0,Lighthouse,583845,,,,2023-06-30 08:56:59,11
[6774419](https://beaconcha.in/slot/6774419),0,Lighthouse,426573,,,,2023-06-30 09:24:11,19
[6774436](https://beaconcha.in/slot/6774436),0,Prysm,480598,,,,2023-06-30 09:27:35,4
[6774601](https://beaconcha.in/slot/6774601),0,Unknown,0,,,,2023-06-30 10:00:35,9
[6774603](https://beaconcha.in/slot/6774603),0,Unknown,0,,,,2023-06-30 10:00:59,11
[6774624](https://beaconcha.in/slot/6774624),0,Nimbus,258106,,,,2023-06-30 10:05:11,0
[6774759](https://beaconcha.in/slot/6774759),0,Unknown,0,,,,2023-06-30 10:32:11,7
[6774834](https://beaconcha.in/slot/6774834),0,Prysm,436859,,,,2023-06-30 10:47:11,18
[6774896](https://beaconcha.in/slot/6774896),0,Lighthouse,487470,,,,2023-06-30 10:59:35,16
[6774933](https://beaconcha.in/slot/6774933),0,Unknown,0,,,,2023-06-30 11:06:59,21
[6775212](https://beaconcha.in/slot/6775212),0,Nimbus,433059,,,,2023-06-30 12:02:47,12
[6775232](https://beaconcha.in/slot/6775232),0,Prysm,68851,,,,2023-06-30 12:06:47,0
[6775259](https://beaconcha.in/slot/6775259),0,Prysm,14106,,,,2023-06-30 12:12:11,27
[6775309](https://beaconcha.in/slot/6775309),0,Unknown,0,,,,2023-06-30 12:22:11,13
[6775395](https://beaconcha.in/slot/6775395),0,Teku,68919,,,,2023-06-30 12:39:23,3
[6775447](https://beaconcha.in/slot/6775447),0,Prysm,63171,,,,2023-06-30 12:49:47,23
[6775625](https://beaconcha.in/slot/6775625),0,Unknown,0,,,,2023-06-30 13:25:23,9
[6775788](https://beaconcha.in/slot/6775788),0,Nimbus,432876,,,,2023-06-30 13:57:59,12
[6775937](https://beaconcha.in/slot/6775937),0,Prysm,405721,,,,2023-06-30 14:27:47,1
[6776163](https://beaconcha.in/slot/6776163),0,Unknown,0,,,,2023-06-30 15:12:59,3
[6776245](https://beaconcha.in/slot/6776245),0,Prysm,549032,,,,2023-06-30 15:29:23,21
[6776419](https://beaconcha.in/slot/6776419),0,Prysm,635652,,,,2023-06-30 16:04:11,3
[6776449](https://beaconcha.in/slot/6776449),0,Prysm,83919,,,,2023-06-30 16:10:11,1
[6776451](https://beaconcha.in/slot/6776451),0,Unknown,0,,,,2023-06-30 16:10:35,3
[6776473](https://beaconcha.in/slot/6776473),0,Unknown,0,,,,2023-06-30 16:14:59,25
[6776512](https://beaconcha.in/slot/6776512),0,Prysm,82299,,,,2023-06-30 16:22:47,0
[6776617](https://beaconcha.in/slot/6776617),0,Unknown,0,,,,2023-06-30 16:43:47,9
[6776741](https://beaconcha.in/slot/6776741),0,Prysm,624939,,,,2023-06-30 17:08:35,5
[6776769](https://beaconcha.in/slot/6776769),0,Prysm,139768,,,,2023-06-30 17:14:11,1
[6776904](https://beaconcha.in/slot/6776904),0,Prysm,585864,,,,2023-06-30 17:41:11,8
[6776982](https://beaconcha.in/slot/6776982),0,Nimbus,653034,,,,2023-06-30 17:56:47,22
