slot,validator_id,validator,builder,relay,cl_client,date,slot_in_epoch
[6356984](https://beaconcha.in/slot/6356984),509251,lido,rsync-builder.xyz,bloxroute (max profit),Prysm,2023-05-03 09:57:11,24
[6358339](https://beaconcha.in/slot/6358339),40286,lido,,,Lighthouse,2023-05-03 14:28:11,3
[6359658](https://beaconcha.in/slot/6359658),291588,lido,Blocknative,blocknative,Lighthouse,2023-05-03 18:51:59,10
[6359745](https://beaconcha.in/slot/6359745),537146,rocketpool,Blocknative,blocknative,Lighthouse,2023-05-03 19:09:23,1
[6359905](https://beaconcha.in/slot/6359905),346557,coinbase,BloXroute,bloxroute (max profit),Lighthouse,2023-05-03 19:41:23,1
[6360257](https://beaconcha.in/slot/6360257),272166,rocketpool,Blocknative,blocknative,Teku,2023-05-03 20:51:47,1
[6360737](https://beaconcha.in/slot/6360737),417584,lido,,,Lighthouse,2023-05-03 22:27:47,1
[6360801](https://beaconcha.in/slot/6360801),377305,0xb7cb44ec3b3626ef99897cd4d10084bcb662418ae091ded0457fd437af36dac67f7d8f5d05101de88deb715e2797baa5,,,Lighthouse,2023-05-03 22:40:35,1
[6360929](https://beaconcha.in/slot/6360929),123830,lido,Blocknative,blocknative,Lighthouse,2023-05-03 23:06:11,1
[6361741](https://beaconcha.in/slot/6361741),260912,lido,beaverbuild.org,bloxroute (max profit),Lighthouse,2023-05-04 01:48:35,13
[6362509](https://beaconcha.in/slot/6362509),434689,0xa60c6701d3b3686987a8dcbad2367fd7e0919983f99cddc8c8c3f21f89a12fdb53f69dec876f7bac4833fb19a5238649,,,Prysm,2023-05-04 04:22:11,13
[6363777](https://beaconcha.in/slot/6363777),251802,figment,,,Lighthouse,2023-05-04 08:35:47,1
[6364289](https://beaconcha.in/slot/6364289),337660,abyss finance,,,Teku,2023-05-04 10:18:11,1
[6365047](https://beaconcha.in/slot/6365047),311737,0xabf5ee97495dbf1aaa67cea7a7db70b64ace716dcf23ed7c08462705766ae2e496de0d86956e865bf6f527d364185827,,,Prysm,2023-05-04 12:49:47,23
